Condition,VP,BORGI,BORGII,BORGIII,BORGIV,BORGV,BORGVI,BORGVI,BORGVII,BORGIX,BORGX
2,b01,13,16,18,17,16,17,19,18,17,k.A.
2,b02,16,18,18,18,18,18,19,19,19,19
2,b03,13,14,16,18,16,15,19,17,18,19
2,b04,16,17,19,18,20,16,18,18,20,18
2,b05,17,17,19,19,20,17,19,19,20,19
2,b06,18,19,20,20,20,19,19,20,20,20
2,b07,17,16,16,16,17,15,14,14,14,12
2,b08,12,13,14,14,13,13,14,14,14,14
2,b09,14,16,16,16,16,14,16,16,16,16
2,b10,18,19,19,19,20,16,19,6,14,18
2,b11,13,14,14,13,15,14,16,15,16,15
2,b12,15,17,17,18,15,14,15,15,16,Nao-fail
2,b13,17,19,19,16,19,15,17,19,18,19
2,b14,15,18,18,19,19,16,18,18,19,19
2,b15,15,15,12,15,12,15,12,15,12,12
2,b16,14,17,16,17,17,16,18,18,19,20
2,b17,15,16,15,17,17,15,19,19,18,13
2,b18,15,17,18,18,19,19,19,19,19,20
1,s01,15,17,16,17,16,15,16,17,17,16
1,s02,12,15,15,18,19,13,16,17,19,19
1,s03,15,15,15,15,15,15,14,13,13,14
1,s04,15,13,15,15,17,15,15,15,15,15
1,s05,15,16,16,15,14,14,16,15,17,17
1,s06,15,17,17,17,15,15,15,15,17,15
1,s07,13,13,17,15,17,13,12,18,15,18
1,s08,14,16,15,14,14,14,15,14,14,14
1,s09,17,12,14,12,13,17,14,13,13,13
1,s10,13,14,15,13,15,12,14,13,13,14
1,s11,14,17,19,16,18,15,17,18,16,18
1,s12,18,17,17,20,19,17,19,19,20,18
1,s12,15,10,18,16,17,15,17,16,18,16
1,s13,13,12,14,14,13,14,13,14,17,13
1,s14,15,15,19,15,19,15,15,17,15,17
1,s15,15,10,18,16,17,15,17,16,18,16
1,s16,15,15,14,16,17,16,15,17,16,17
1,s18,16,12,18,11,18,16,17,16,17,18
1,s19,15,16,16,17,18,17,18,18,18,18
1,s20,19,14,17,14,17,18,15,17,15,17
3,t01,18,12,20,14,20,19,14,20,16,20
3,t02,15,16,14,16,17,15,17,16,13,17
3,t03,15,17,16,18,15,15,17,14,17,15
3,t04,15,17,17,17,18,14,8,17,16,18
3,t05,15,15,16,16,16,12,14,15,17,15
3,t06,15,16,17,18,19,17,18,18,19,19
3,t07,15,15,17,16,17,16,15,16,17,17
3,t08,15,16,17,17,15,14,15,15,17,16
3,t09,18,17,19,17,19,17,17,19,18,19
3,t10,17,17,16,17,18,18,17,18,18,19
3,t11,13,14,15,16,18,15,16,15,18,18
3,t12,15,15,15,15,15,15,15,15,15,15
3,t13,15,16,16,16,15,16,16,16,17,16
3,t14,13,13,15,13,15,13,13,15,15,13
3,t15,16,17,19,17,20,18,19,19,19,18
3,t16,15,16,16,19,16,17,18,17,18,17
3,t17,16,15,16,17,18,14,14,14,15,17
3,t18,14,15,14,15,14,14,15,15,15,15
3,t18,14,17,16,17,17,16,18,18,19,19
